Brand Name,Model,Device Type,Supported Releases,_
"Adaptec","Adaptec HBA 1200-8i","SAS-SATA-NVME Tri-mode","ESXi 9.1"," "
"Adaptec","Adaptec HBA 1200 Ultra","SAS-SATA-NVME Tri-mode","ESXi 9.1"," "
"Adaptec","Adaptec SmartRAID 3154-8i16e","SAS-RAID","ESXi 9.1"," "
"Adaptec","Adaptec SmartRAID 3254-8i","SAS-SATA-NVME Tri-mode RAID","ESXi 9.1"," "
"Adaptec","Adaptec SmartHBA 2100","SAS-RAID","ESXi 9.1"," "
"Adaptec","Adaptec SmartRAID Ultra 3258p-32i","SAS-SATA-NVME Tri-mode RAID","ESXi 9.1"," "
"Adaptec","Adaptec HBA 1100-16i","SAS","ESXi 9.1"," "
"Adaptec","SmartRAID P7608-16i","SAS/SATA-RAID","ESXi 9.1"," "
"Adaptec","Adaptec SmartRAID 3254-16e /e","SAS-SATA-NVME Tri-mode RAID","ESXi 9.1"," "
"Adaptec","Adaptec SmartRAID Ultra 3258P-16i","SAS-SATA-NVME Tri-mode RAID","ESXi 9.1"," "
"Adaptec","SmartRAID P7604-8e","SAS/SATA-RAID","ESXi 9.1"," "
"Adaptec","SmartRAID P7608-8i8e","SAS/SATA-RAID","ESXi 9.1"," "
"Adaptec","Adaptec SmartRAID 3152-8i/N","SAS-RAID","ESXi 9.1"," "
"Adaptec","SmartHBA P6600-8e","SAS/SATA-RAID","ESXi 9.1"," "
"Adaptec","Adaptec SmartRAID 3101-4i","SAS-RAID","ESXi 9.1"," "
"Adaptec","Adaptec SmartRAID 3162-8i","SAS-RAID","ESXi 9.1"," "
"Adaptec","Adaptec HBA 1100-24i","SAS","ESXi 9.1"," "
"Adaptec","SmartHBA P6600-16i","SAS/SATA-RAID","ESXi 9.1"," "
"Adaptec","Adaptec SmartHBA 2200 Ultra","SAS-SATA-NVME Tri-mode RAID","ESXi 9.1"," "
"Adaptec","SmartRAID P7604-8i","SAS/SATA-RAID","ESXi 9.1"," "
"Adaptec","Adaptec SmartRAID 3100","SAS-RAID","ESXi 9.1"," "
"Adaptec","Adaptec SmartHBA 2100C8iOXS","SAS-RAID","ESXi 9.1"," "
"Adaptec","Adaptec SmartRAID 3102E-8i","SAS-RAID","ESXi 9.1"," "
"Advanced Micro Devices
Inc.","AMD Hudson SATA Controller [AHCI Mode]","SATA","ESXi 9.1"," "
"Advanced Micro Devices
Inc.","SB700 SATA Controller [Non-RAID5 Mode]","SATA","ESXi 9.1"," "
"Advanced Micro Devices
Inc.","AMD Hudson SATA Controller [IDE Mode]","SATA","ESXi 9.1"," "
"Advanced Micro Devices
Inc.","SB700 SATA Controller [AHCI Mode]","SATA","ESXi 9.1"," "
"Advanced Micro Devices
Inc.","SB700 SATA Controller [IDE Mode]","SATA","ESXi 9.1"," "
"Advanced Micro Devices
Inc.","SB700 SATA Controller [RAID Mode]","SATA","ESXi 9.1"," "
"Advanced Micro Devices
Inc.","AMD FCH SATA Controller [IDE Mode]","SATA","ESXi 9.1"," "
"Advanced Micro Devices
Inc.","AMD FCH SATA Controller [AHCI Mode]","SATA","ESXi 9.1"," "
"Advanced Micro Devices
Inc.","SB700 SATA Controller [SATA and FC Enabled]","SATA","ESXi 9.1"," "
"Advanced Micro Devices
Inc.","AMD FCH SATA Controller [AHCI Mode]","SATA","ESXi 9.1"," "
"Advanced Micro Devices
Inc.","AMD Hudson SATA Controller [AHCI Mode]","SATA","ESXi 9.1"," "
"Advantech Corporation","Advantech SKY-9200 MIC-8312BridgeB","SAS","ESXi 9.1"," "
"Amazon Web Services","Amazon EC2 NVMe Instance Storage","NVMe","ESXi 9.1"," "
"Amazon Web Services","Amazon EC2 NVMe Instance Storage(i7i.metal-24xl)","NVMe","ESXi 9.1"," "
"Amazon Web Services","Amazon
 Inc.Elastic Network Adapter","Network","ESXi 9.1"," "
"Areca Technology","ARC-1886-8I","SAS-SATA-NVME Tri-mode RAID","ESXi 9.1"," "
"Areca Technology","ARC-1886-2NOD","SAS-SATA-NVME Tri-mode RAID","ESXi 9.1"," "
"Areca Technology","ARC-1886-4X24I","SAS-SATA-NVME Tri-mode RAID","ESXi 9.1"," "
"Areca Technology","ARC-1886-4X4I","SAS-SATA-NVME Tri-mode RAID","ESXi 9.1"," "
"Areca Technology","ARC-1883-8I","SAS-SATA-NVME Tri-mode RAID","ESXi 9.1"," "
"Areca Technology","ARC-1886-8X","SAS-SATA-NVME Tri-mode RAID","ESXi 9.1"," "
"Areca Technology","ARC-1686-2NOD","SAS-SATA-NVME Tri-mode RAID","ESXi 9.1"," "
"Areca Technology","ARC-1886-4N8I","SAS-SATA-NVME Tri-mode RAID","ESXi 9.1"," "
"Areca Technology","ARC-1686-4NOD","SAS-SATA-NVME Tri-mode RAID","ESXi 9.1"," "
"Areca Technology","ARC-1886-4N8X","SAS-SATA-NVME Tri-mode RAID","ESXi 9.1"," "
"Areca Technology","ARC-1886-4NOD","SAS-SATA-NVME Tri-mode RAID","ESXi 9.1"," "
"Areca Technology","ARC-1886-6NOD","SAS-SATA-NVME Tri-mode RAID","ESXi 9.1"," "
"Areca Technology","ARC-1886-16I","SAS-SATA-NVME Tri-mode RAID","ESXi 9.1"," "
"Areca Technology","ARC-1886-6N2I","SAS-SATA-NVME Tri-mode RAID","ESXi 9.1"," "
"Areca Technology","ARC-1686-6NOD","SAS-SATA-NVME Tri-mode RAID","ESXi 9.1"," "
"Areca Technology","ARC-1886-8X8I","SAS-SATA-NVME Tri-mode RAID","ESXi 9.1"," "
"ASRock Rack Incorporation","ASRock Rack M3008","SAS","ESXi 9.1"," "
"ASUSTek Computer Inc.","PIKE II 3008-8e","SAS","ESXi 9.1"," "
"ASUSTek Computer Inc.","PIKE II 3108-8i/240PD/2G","SAS-RAID","ESXi 9.1"," "
"ASUSTek Computer Inc.","PIKE II 3008-8i","SAS","ESXi 9.1"," "
"ATTO Technology
Inc.","Celerity FC-641E","FC","ESXi 9.1"," "
"ATTO Technology
Inc.","Celerity FC-644E","FC","ESXi 9.1"," "
"ATTO Technology
Inc.","ExpressSAS H1244 GT","SAS","ESXi 9.1"," "
"ATTO Technology
Inc.","Celerity FC-642E","FC","ESXi 9.1"," "
"ATTO Technology
Inc.","ATTO Celerity FC-161P Host Bus Adapter","FC","ESXi 9.1"," "
"ATTO Technology
Inc.","ExpressSAS H120F GT","SAS","ESXi 9.1"," "
"ATTO Technology
Inc.","Celerity FC-324P Host Bus Adapter","FC","ESXi 9.1"," "
"ATTO Technology
Inc.","Celerity FC-321P Host Bus Adapter","FC","ESXi 9.1"," "
"ATTO Technology
Inc.","ExpressSAS H1208 GT","SAS","ESXi 9.1"," "
"ATTO Technology
Inc.","Celerity FC-322P Host Bus Adapter","FC","ESXi 9.1"," "
"ATTO Technology
Inc.","ExpressSAS H12F0 GT","SAS","ESXi 9.1"," "
"ATTO Technology
Inc.","ATTO Celerity FC-321E Host Bus Adapter","FC","ESXi 9.1"," "
"ATTO Technology
Inc.","ThunderLink TL-3162","FC","ESXi 9.1"," "
"ATTO Technology
Inc.","ExpressSAS H1280 GT","SAS","ESXi 9.1"," "
"ATTO Technology
Inc.","ATTO Celerity FC-162P Host Bus Adapter","FC","ESXi 9.1"," "
"ATTO Technology
Inc.","Celerity FC-324E","FC","ESXi 9.1"," "
"ATTO Technology
Inc.","ThunderLink TL-3322","FC","ESXi 9.1"," "
"ATTO Technology
Inc.","ATTO Celerity FC-322E Host Bus Adapter","FC","ESXi 9.1"," "
"ATTO Technology
Inc.","ATTO Celerity FC-164P Host Bus Adapter","FC","ESXi 9.1"," "
"Beijing Memblaze Technology Co. Ltd.","MEMBLAZE P7946CH0640Y00","NVMe","ESXi 9.1"," "
"Beijing Memblaze Technology Co. Ltd.","MEMBLAZE P7940CL0768Y00","NVMe","ESXi 9.1"," "
"Beijing Memblaze Technology Co. Ltd.","MEMBLAZE P7940DT0384M00","NVMe","ESXi 9.1"," "
"Beijing Memblaze Technology Co. Ltd.","MEMBLAZE P6531DT0384Y00","NVMe","ESXi 9.1"," "
"Beijing Memblaze Technology Co. Ltd.","MEMBLAZE P6531DT0192Y00","NVMe","ESXi 9.1"," "
"Beijing Memblaze Technology Co. Ltd.","MEMBLAZE P6536DT0160M00","NVMe","ESXi 9.1"," "
"Beijing Memblaze Technology Co. Ltd.","MEMBLAZE P7940CL0384Y00","NVMe","ESXi 9.1"," "
"Beijing Memblaze Technology Co. Ltd.","MEMBLAZE P6530CH0192M00","NVMe","ESXi 9.1"," "
"Beijing Memblaze Technology Co. Ltd.","MEMBLAZE P7946CL1280Y00","NVMe","ESXi 9.1"," "
"Beijing Memblaze Technology Co. Ltd.","MEMBLAZE P7946CL0320Y00","NVMe","ESXi 9.1"," "
"Beijing Memblaze Technology Co. Ltd.","MEMBLAZE P6536CH0160M00","NVMe","ESXi 9.1"," "
"Beijing Memblaze Technology Co. Ltd.","MEMBLAZE P6530CL0768M00","NVMe","ESXi 9.1"," "
"Beijing Memblaze Technology Co. Ltd.","MEMBLAZE P6537CH0160Y00	","NVMe","ESXi 9.1"," "
"Beijing Memblaze Technology Co. Ltd.","MEMBLAZE P7946DT1280Y00","NVMe","ESXi 9.1"," "
"Beijing Memblaze Technology Co. Ltd.","MEMBLAZE P7940CH0768Y00","NVMe","ESXi 9.1"," "
"Beijing Memblaze Technology Co. Ltd.","MEMBLAZE P6530CL0384M00","NVMe","ESXi 9.1"," "
"Beijing Memblaze Technology Co. Ltd.","MEMBLAZE P6537DT0160Y00","NVMe","ESXi 9.1"," "
"Beijing Memblaze Technology Co. Ltd.","MEMBLAZE P7946DT0320Y00","NVMe","ESXi 9.1"," "
"Beijing Memblaze Technology Co. Ltd.","MEMBLAZE P7940DT0768Y00","NVMe","ESXi 9.1"," "
"Beijing Memblaze Technology Co. Ltd.","MEMBLAZE P6531CH0768Y00","NVMe","ESXi 9.1"," "
"Beijing Memblaze Technology Co. Ltd.","MEMBLAZE P7946DT0640M00","NVMe","ESXi 9.1"," "
"Beijing Memblaze Technology Co. Ltd.","MEMBLAZE P7940CH1536Y00","NVMe","ESXi 9.1"," "
