=====================================================
 NSX INFRASTRUCTURE HEALTH CHECK - COMBINED REPORT
 Generated At : 2026-01-29 22:31:40
 Target Server: 
=====================================================

[ SECTION : 01_vSphereSummary ]
-----------------------------------------------------
"Total Datacenters","Total Clusters","Total Hosts","Total VMs"
"1","1","3 (Connected: 3)","43 (Powered On: 40)"

[ SECTION : 02_vSphereInventorymap ]
-----------------------------------------------------
"Datacenter","Cluster","HostName","vmk0_IP","Version","Status"
"Datacenter","Cluster","fu-01.vks.lab","172.18.10.xx","8.0.3 (Build 24022510)","OK"
"Datacenter","Cluster","fu-02.vks.lab","172.18.10.xx","8.0.3 (Build 24022510)","OK"
"Datacenter","Cluster","fu-03.vks.lab","172.18.10.xx","8.0.3 (Build 24022510)","OK"

[ SECTION : 03_Host_CPUOvercommit ]
-----------------------------------------------------
"HostName","Sockets","pCores","vCPUs","Ratio","Status"
"fu-03.vks.lab","2","24","145","1:6.04","CRITICAL: High (1:6.04)"
"fu-01.vks.lab","2","24","131","1:5.46","CRITICAL: High (1:5.46)"
"fu-02.vks.lab","2","24","56","1:2.33","OK"

[ SECTION : 04_VM_status ]
-----------------------------------------------------
"VMName","PowerState","GuestOS","vCPU","vMEM","Hardware"
"avi","poweredOn","Ubuntu Linux (64-bit)","8 vCPU","24 GB","vmx-11"
"avi-controller","poweredOn","Ubuntu Linux (64-bit)","8 vCPU","24 GB","vmx-11"
"Avi-se-aepjn","poweredOn","Ubuntu Linux (64-bit)","4 vCPU","8 GB","vmx-11"
"Avi-se-jpevr","poweredOn","Ubuntu Linux (64-bit)","4 vCPU","8 GB","vmx-11"
"dns","poweredOn","Microsoft Windows Server 2019 (64-bit)","4 vCPU","8 GB","vmx-21"
"EDGE01","poweredOn","Ubuntu Linux (64-bit)","4 vCPU","8 GB","vmx-21"
"EDGE02","poweredOn","Ubuntu Linux (64-bit)","4 vCPU","8 GB","vmx-21"
"harbor-2-10-3","poweredOn","VMware Photon OS (64-bit)","4 vCPU","8 GB","vmx-15"
"kdw-iperf3","poweredOn","Microsoft Windows Server 2019 (64-bit)","4 vCPU","8 GB","vmx-21"
"kdw-jumpbox","poweredOn","Microsoft Windows Server 2019 (64-bit)","4 vCPU","8 GB","vmx-21"
"nc-cluster01-kdfxj-fnqx4","poweredOn","VMware Photon OS (64-bit)","4 vCPU","8 GB","vmx-21"
"nc-cluster01-md-thfgh-whphn-m7tsp","poweredOn","VMware Photon OS (64-bit)","4 vCPU","8 GB","vmx-21"
"nc-cluster01-md-thfgh-whphn-qkqwm","poweredOn","VMware Photon OS (64-bit)","4 vCPU","8 GB","vmx-21"
"nc-cluster01-md-thfgh-whphn-wwqkk","poweredOn","VMware Photon OS (64-bit)","4 vCPU","8 GB","vmx-21"
"nsx01","poweredOn","Ubuntu Linux (64-bit)","6 vCPU","24 GB","vmx-13"
"ssk-alb","poweredOn","Ubuntu Linux (64-bit)","8 vCPU","24 GB","vmx-11"
"ssk-esxi","poweredOff","VMware ESXi 8.0 or later","16 vCPU","64 GB","vmx-21"
"ssk-esxi-1","poweredOn","VMware ESXi 8.0 or later","16 vCPU","64 GB","vmx-21"
"ssk-esxi-2","poweredOn","VMware ESXi 8.0 or later","16 vCPU","64 GB","vmx-21"
"ssk-esxi-3","poweredOn","VMware ESXi 8.0 or later","16 vCPU","64 GB","vmx-21"
"ssk-esxi-templete","poweredOff","VMware ESXi 8.0 or later","16 vCPU","64 GB","vmx-21"
"ssk-ubuntu-24.04-templete","poweredOff","Ubuntu Linux (64-bit)","2 vCPU","4 GB","vmx-21"
"ssk-util","poweredOn","Ubuntu Linux (64-bit)","4 vCPU","16 GB","vmx-21"
"ssk-vc","poweredOn","Other 3.x or later Linux (64-bit)","2 vCPU","14 GB","vmx-10"
"ssk-vks-jump-host","poweredOn","Ubuntu Linux (64-bit)","4 vCPU","16 GB","vmx-21"
