"Cluster","HostName","Category","Detected","CPU_Sockets","CoresPerSocket_Actual","CoresPerSocket_Eff","Total_Cores_Eff","Core_Note","HCL_Match","Match_Score(%)","ESXi_9.0","ESXi_9.1","Note"
"WD-HCS-cl01","wd-esxi03.vcf.local","Server","Dell Inc. PowerEdge R750","2","32","32","64","","Dell PowerEdge R750","100","OK","OK","VCF Supported(Confirm w/Vendor):   /  지원 버전: ESXi 9.0"
"WD-HCS-cl01","wd-esxi01.vcf.local","Server","Dell Inc. PowerEdge R750","2","32","32","64","","Dell PowerEdge R750","100","OK","OK","VCF Supported(Confirm w/Vendor):   /  지원 버전: ESXi 9.0"
"WD-HCS-cl01","wd-esxi04.vcf.local","Server","Dell Inc. PowerEdge R750","2","32","32","64","","Dell PowerEdge R750","100","OK","OK","VCF Supported(Confirm w/Vendor):   /  지원 버전: ESXi 9.0"
"WD-HCS-cl01","wd-esxi02.vcf.local","Server","Dell Inc. PowerEdge R750","2","32","32","64","","Dell PowerEdge R750","100","OK","OK","VCF Supported(Confirm w/Vendor):   /  지원 버전: ESXi 9.0"
