Brand Name,Model,Type,Feature,Supported Releases
"Adaptec","Adaptec SmartRAID 3154-8i16e","Hybrid
All Flash","Pass-Through","ESXi 9.0 (vSAN  9.0)"
"Adaptec","Adaptec HBA Ultra 1200-16e","Hybrid
All Flash","Pass-Through","ESXi 9.0 (vSAN  9.0)"
"Adaptec","Adaptec HBA Ultra 1200p-32i","Hybrid
All Flash","Pass-Through","ESXi 9.0 (vSAN  9.0)"
"ASUSTek Computer Inc.","ASUS PIKE II 3008-8i","All Flash","Pass-Through
vSAN Secure-wipe capable","ESXi 9.0 (vSAN  9.0)"
"Broadcom","MegaRaid 9560-8i","Hybrid
All Flash","Pass-Through
vSAN Secure-wipe capable","ESXi 9.0 (vSAN  9.0)"
"Broadcom","SAS 9500-16i","Hybrid
All Flash","Pass-Through
vSAN Secure-wipe capable","ESXi 9.0 (vSAN  9.0)"
"Broadcom","MegaRAID SAS 9460-8i /w JBOD Mode","Hybrid
All Flash","Pass-Through","ESXi 9.0 (vSAN  9.0)"
"Broadcom","Megaraid SAS 9460-16i /w JBOD Mode","Hybrid
All Flash","Pass-Through","ESXi 9.0 (vSAN  9.0)"
"Broadcom","SAS 9500-8i","Hybrid
All Flash","Pass-Through
vSAN Secure-wipe capable","ESXi 9.0 (vSAN  9.0)"
"Broadcom","Megaraid SAS 9440-8i","Hybrid
All Flash","Pass-Through","ESXi 9.0 (vSAN  9.0)"
"Broadcom","Megaraid 9540-16i","Hybrid","Pass-Through","ESXi 9.0 (vSAN  9.0)"
"Broadcom","Megaraid 9540-16i","Hybrid
All Flash","Pass-Through","ESXi 9.0 (vSAN  9.0)"
"Broadcom","MegaRaid 9560-16i","Hybrid
All Flash","Pass-Through
vSAN Secure-wipe capable","ESXi 9.0 (vSAN  9.0)"
"Broadcom","9540-8i","Hybrid
All Flash","Pass-Through","ESXi 9.0 (vSAN  9.0)"
"Broadcom","Megaraid SAS 9460-16i","All Flash
Hybrid","Pass-Through
vSAN Secure-wipe capable","ESXi 9.0 (vSAN  9.0)"
"Cisco","UCSX-X10C-RAIDF","All Flash","Pass-Through","ESXi 9.0 (vSAN  9.0)"
"Cisco","Cisco 12G SAS Modular Raid Controller with 1GB FBWC Cache module","Hybrid
All Flash","Pass-Through","ESXi 9.0 (vSAN  9.0)"
"Cisco","UCSC-RAID-M5HD","Hybrid
All Flash","Pass-Through
vSAN Secure-wipe capable","ESXi 9.0 (vSAN  9.0)"
"Cisco","Cisco 12G SAS Modular Raid Controller for C460","Hybrid","Pass-Through","ESXi 9.0 (vSAN  9.0)"
"Cisco","UCSC-SAS-M5","Hybrid
All Flash","Pass-Through
vSAN Secure-wipe capable","ESXi 9.0 (vSAN  9.0)"
"Cisco","Cisco FlexStorage 12G SAS RAID Controller w/2GB FBWC","All Flash","Pass-Through","ESXi 9.0 (vSAN  9.0)"
"Cisco","UCSC-RAID-M6SD","All Flash","RAID 0
Pass-Through","ESXi 9.0 (vSAN  9.0)"
